Time Series Search Export,Search term,Search filters,,Last update of Consumer prices data,Downloaded at,Source,Source URL,Download URL,About Consumer prices
,,,,2024-11-28,2024-12-04 03:42 CET,BIS,"https://data.bis.org/topics/CPI/BIS,WS_LONG_CPI,1.0/M.JP.771?","https://data.bis.org/topics/CPI/BIS,WS_LONG_CPI,1.0/M.JP.771?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/CPI

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1952-08-31,F:Free,,A:Normal value,3.246753
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1952-09-30,F:Free,,A:Normal value,2.580645
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1952-10-31,F:Free,,A:Normal value,1.273885
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1952-11-30,F:Free,,A:Normal value,0.636943
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1952-12-31,F:Free,,A:Normal value,0.0
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1953-01-31,F:Free,,A:Normal value,1.898734
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1953-02-28,F:Free,,A:Normal value,3.821656
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1953-03-31,F:Free,,A:Normal value,3.821656
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1953-04-30,F:Free,,A:Normal value,3.797468
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1953-05-31,F:Free,,A:Normal value,4.487179
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1953-06-30,F:Free,,A:Normal value,5.095541
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1953-07-31,F:Free,,A:Normal value,6.289308
"BIS,WS_LONG_CPI,1.0",M.JP.771,M:Monthly,JP:Japan,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1953-08-31,F:Free,,A:Normal value,7.54717
